Model,Class,F1,Precision,Recall,AUC
EfficientNetV2S,Both,0.9425,0.9011,0.988,0.9988
EfficientNetV2S,Infection,0.8886,0.9161,0.8626,0.9694
EfficientNetV2S,Ischaemia,0.9062,0.8529,0.9667,0.9991
EfficientNetV2S,None,0.9026,0.8924,0.913,0.972
MobileNetV2,Both,0.9176,0.907,0.9286,0.9986
MobileNetV2,Infection,0.8441,0.8263,0.8626,0.9328
MobileNetV2,Ischaemia,0.8696,0.7692,1.0,0.9999
MobileNetV2,None,0.8434,0.8777,0.8116,0.9362
DenseNet121,Both,0.8914,0.8478,0.9398,0.9922
DenseNet121,Infection,0.7761,0.8161,0.7398,0.9023
DenseNet121,Ischaemia,0.9118,0.8378,1.0,0.9995
DenseNet121,None,0.8119,0.7928,0.8319,0.9188
ResNet50,Both,0.8786,0.8444,0.9157,0.9921
ResNet50,Infection,0.7489,0.7709,0.7281,0.8584
ResNet50,Ischaemia,0.7368,0.6087,0.9333,0.9933
ResNet50,None,0.7726,0.7771,0.7681,0.8797
ResNet101,Both,0.8466,0.7547,0.9639,0.9966
ResNet101,Infection,0.7468,0.7311,0.7632,0.8666
ResNet101,Ischaemia,0.7949,0.6596,1.0,0.9981
ResNet101,None,0.7453,0.8144,0.687,0.8886
GoogLeNet,Both,0.18,0.5294,0.1084,0.7768
GoogLeNet,Infection,0.6432,0.4976,0.9094,0.688
GoogLeNet,Ischaemia,0.383,0.5294,0.3,0.844
GoogLeNet,None,0.428,0.7376,0.3014,0.7365
