Model,Class,Precision,Recall,F1_Score,Specificity,Sensitivity,AUC,Support
MobileNetV2,Grade 1,0.9892,0.9892,0.9892,0.9967,0.9892,0.9997,465
MobileNetV2,Grade 2,0.9856,0.9897,0.9877,0.9953,0.9897,0.9996,485
MobileNetV2,Grade 3,0.991,0.9892,0.9901,0.9965,0.9892,0.9998,557
MobileNetV2,Grade 4,0.9979,0.9958,0.9969,0.9993,0.9958,1.0,477
ResNet50,Grade 1,0.8566,0.9485,0.9002,0.9513,0.9485,0.9895,466
ResNet50,Grade 2,0.9273,0.868,0.8967,0.978,0.868,0.9822,485
ResNet50,Grade 3,0.9413,0.8923,0.9161,0.9783,0.8923,0.9861,557
ResNet50,Grade 4,0.9405,0.9602,0.9502,0.9808,0.9602,0.997,477
ResNet101,Grade 1,0.9226,0.9742,0.9477,0.975,0.9742,0.997,465
ResNet101,Grade 2,0.9489,0.9196,0.934,0.984,0.9196,0.9944,485
ResNet101,Grade 3,0.9575,0.9713,0.9643,0.9832,0.9713,0.9963,557
ResNet101,Grade 4,0.9738,0.935,0.954,0.992,0.935,0.9978,477
EfficientNetV2S,Grade 1,0.983,0.9935,0.9882,0.9947,0.9935,0.9998,465
EfficientNetV2S,Grade 2,0.9855,0.9855,0.9855,0.9953,0.9855,0.9991,484
EfficientNetV2S,Grade 3,0.9927,0.9803,0.9864,0.9972,0.9803,0.997,557
EfficientNetV2S,Grade 4,0.9938,0.9979,0.9958,0.998,0.9979,1.0,478
GoogLeNet,Grade 1,0.7886,0.5376,0.6394,0.9559,0.5376,0.911,465
GoogLeNet,Grade 2,0.5972,0.8742,0.7096,0.8092,0.8742,0.9238,485
GoogLeNet,Grade 3,0.7384,0.7397,0.739,0.8977,0.7397,0.9115,557
GoogLeNet,Grade 4,0.8647,0.7233,0.7877,0.9642,0.7233,0.9605,477
DenseNet121,Grade 1,0.9957,0.9957,0.9957,0.9987,0.9957,0.9999,465
DenseNet121,Grade 2,0.9958,0.9876,0.9917,0.9987,0.9876,0.9999,485
DenseNet121,Grade 3,0.9928,0.9928,0.9928,0.9972,0.9928,1.0,557
DenseNet121,Grade 4,0.9896,0.9979,0.9937,0.9967,0.9979,1.0,477
